# Event   Net Sta  Chan Origin_time Arrivial_time Phase Travel_time
01862e2n88 II KDAK BHZ 2018-05-12T05:26:44.086000Z 2018-05-12T05:27:10.888000Z P 26.802
01862e2n88 AK Q19K BHZ 2018-05-12T05:26:44.086000Z 2018-05-12T05:27:12.135000Z P 28.049
01862e2n88 AV P18K BHZ 2018-05-12T05:26:44.086000Z 2018-05-12T05:27:14.461000Z P 30.375
01862e2n88 AV Q20K BHZ 2018-05-12T05:26:44.086000Z 2018-05-12T05:27:16.425000Z P 32.339
01862e2n88 AV ANCK BHZ 2018-05-12T05:26:44.086000Z 2018-05-12T05:26:54.801000Z P 10.715
01862j165e AK R16K BHZ 2018-05-12T13:59:36.985000Z 2018-05-12T13:59:56.521000Z P 19.536
01862j165e AV PLK3 EHZ 2018-05-12T13:59:36.985000Z 2018-05-12T13:59:43.610000Z P 6.625
01862j165e AV ANCK BHZ 2018-05-12T13:59:36.985000Z 2018-05-12T13:59:44.488000Z P 7.503
01862j165e AV ACH  BHZ 2018-05-12T13:59:36.985000Z 2018-05-12T13:59:44.769000Z P 7.784
01862j165e AV Q17K BHZ 2018-05-12T13:59:36.985000Z 2018-05-12T13:59:45.350000Z P 8.365
01862j165e AV KEL  EHZ 2018-05-12T13:59:36.985000Z 2018-05-12T13:59:48.352000Z P 11.367
